98 400
29 50
33 41
4 66
10 61
2 78
49 78
51 74
65 84
89 94
17 64
44 56
7 98
51 60
2 53
9 93
27 39
28 32
48 77
24 73
26 67
35 52
6 67
12 50
8 18
16 75
19 70
43 69
46 82
58 72
57 60
58 59
32 58
48 68
38 64
75 82
53 82
54 64
17 50
28 68
44 46
40 86
7 80
42 84
12 29
69 92
5 10
28 54
2 33
22 36
59 75
23 33
37 87
52 81
28 44
31 33
13 75
4 69
10 48
49 75
6 87
12 62
64 67
66 73
20 61
11 70
34 50
72 94
52 70
28 90
18 43
42 60
13 56
12 19
21 95
13 18
14 41
10 73
26 52
32 79
10 83
82 90
29 35
37 42
12 44
33 86
3 13
69 81
67 97
4 14
33 72
9 68
28 57
37 66
15 90
48 70
33 57
39 76
30 35
51 90
17 30
54 70
7 61
13 42
31 64
28 70
27 96
6 82
38 50
25 31
17 74
21 97
26 28
66 76
5 8
46 61
10 69
35 87
20 30
81 88
31 35
13 73
26 83
10 62
78 83
77 79
39 48
91 95
48 56
10 98
21 84
71 77
1 49
57 76
58 66
15 33
22 61
2 80
13 66
26 90
34 42
17 34
42 58
3 90
41 78
57 85
52 59
2 49
58 60
27 81
25 65
6 45
15 69
79 81
26 79
18 32
40 77
54 77
64 83
65 91
18 58
24 25
67 93
3 15
58 84
2 8
26 61
46 56
2 34
5 23
2 92
8 55
50 66
18 27
17 54
5 66
40 90
66 80
16 92
25 41
30 40
36 91
11 91
26 81
1 65
49 79
89 95
67 75
65 79
41 75
17 91
19 62
24 51
46 74
71 79
57 82
5 25
9 94
26 88
38 72
35 53
3 92
64 94
20 81
21 69
25 93
12 89
33 36
40 41
18 30
36 61
54 67
38 63
6 95
10 18
64 75
22 82
44 75
14 52
27 28
45 65
44 97
5 11
28 53
2 32
14 64
11 78
25 72
6 26
48 80
77 82
42 52
24 98
12 27
30 98
51 54
15 36
24 93
82 98
51 77
10 58
7 54
63 85
44 57
66 67
43 79
50 62
24 53
3 5
71 73
62 72
9 92
61 68
3 49
1 88
60 63
79 84
4 80
22 89
83 93
69 82
16 98
57 89
45 70
2 13
9 69
82 84
40 43
21 23
10 44
17 31
36 63
49 81
76 79
14 58
15 51
27 52
57 68
12 82
33 51
2 88
13 74
26 82
6 50
12 63
56 97
19 87
44 60
46 93
18 64
66 70
13 24
3 30
10 79
23 67
4 25
14 73
6 19
73 77
28 36
4 77
50 83
40 69
15 27
33 92
23 88
25 54
15 47
2 48
26 53
53 59
25 88
36 78
2 42
7 19
61 66
12 94
39 86
36 84
67 90
30 82
39 61
18 76
61 97
32 61
23 37
52 85
79 95
26 73
9 55
27 77
3 73
54 71
39 58
64 79
44 71
46 88
69 89
43 85
34 98
3 27
60 88
47 59
21 52
4 28
86 98
81 95
11 88
54 94
13 34
64 70
29 98
15 58
22 67
24 50
18 88
80 92
14 79
15 81
52 65
13 91
43 50
49 91
17 59
31 95
16 73
67 87
41 87
3 9
18 83
25 52
35 68
62 76
1 35
25 94
6 8
4 54
12 47
10 11
55 66
40 84
64 74
5 98
18 74
4 9
1 85
48 95
53 93
49 85
11 59
53 71
25 28
44 65
68 79
13 27
56 68
22 78
32 80
24 45
71 81
21 50
99 300
1 34
6 9
5 31
4 41
3 35
8 44
5 81
3 52
2 84
7 82
1 17
6 35
5 57
4 55
1 83
1 6
