10
-28 93 99
-87 -35 95
48 13 51
87 88 125
-71 87 114
66 -5 68
66 20 70
39 -11 42
98 45 109
-90 -91 129
5
-79 -71 124
-44 15 223
78 -36 144
40 -20 157
2 -19 219
10
90 -81 287
81 -84 169
-84 -87 242
-82 94 184
97 82 168
97 -92 249
-86 97 209
98 98 242
90 -97 287
94 87 201
2
81 -97 198
-80 96 178
6
96 90 183
-93 87 151
88 -99 178
-92 -87 251
-85 -85 225
94 87 142
3
-88 89 248
-93 -84 296
-82 84 289
10
80 86 154
-93 95 238
85 -93 142
-95 -93 162
98 -89 141
82 89 260
85 89 132
-88 -96 204
85 95 169
97 -99 191
1
-78 -36 225
1
-82 84 289
10
-95 82 195
-83 -96 179
-83 -97 189
99 93 226
-86 95 204
96 -90 203
90 82 149
-98 -81 282
-94 98 189
80 88 129
9
4 28 89
-9 47 160
-78 42 105
-77 -40 257
89 -18 143
17 -92 241
21 -30 53
21 -29 77
1 28 255
7
-88 99 147
-82 81 234
-97 82 227
-84 93 274
89 99 158
86 91 162
-95 -98 178
10
96 98 139
85 96 131
-80 99 129
80 81 116
83 -91 125
98 -85 132
96 -87 131
97 82 129
84 93 127
87 91 128
5
30 2 116
82 54 217
37 98 176
62 -31 242
0 -12 142
8
37 67 122
95 67 197
19 73 253
58 -16 147
32 9 119
-48 69 87
-93 -84 296
-62 44 119
10
92 84 126
80 -90 122
-86 -82 120
-95 -81 126
-88 80 120
80 -85 118
99 -80 129
85 -89 125
-84 -84 120
96 80 126
10
82 -95 128
-98 90 135
90 88 127
84 95 128
84 93 127
90 91 129
95 94 135
-92 -89 130
89 -94 131
-89 88 128
5
67 91 231
94 71 190
23 87 91
56 -30 205
22 -68 120
1
81 92 242
4
94 -93 285
98 82 234
88 -84 256
97 80 294
10
86 -91 140
-89 -97 264
96 87 216
-85 -94 134
87 -90 281
82 -80 152
86 -90 246
96 88 232
81 -91 277
-83 -95 241
10
92 92 227
-91 -84 287
-97 -96 152
-99 98 214
-96 -80 289
89 95 198
-94 82 288
-89 86 204
91 -99 246
-95 -88 146
5
83 80 283
89 98 277
-88 -95 171
-95 -88 172
92 -97 228
10
93 -92 133
85 -81 119
-90 85 125
-99 98 141
89 95 133
-80 89 121
91 85 127
88 -96 132
98 -91 135
-91 -81 123
10
95 81 126
91 -86 127
87 97 132
-88 84 123
93 92 132
-81 83 117
84 -81 118
82 85 120
-85 82 120
-90 90 129
5
82 94 274
97 98 188
82 -91 129
80 -92 269
97 87 220
8
-2 56 97
56 42 224
27 33 233
76 -75 111
-93 -74 211
-41 12 197
-26 34 200
-99 -21 121
10
-91 98 136
98 -83 130
86 -94 129
98 91 135
80 -89 122
-88 92 130
83 84 121
87 88 125
-93 84 128
-81 84 119
1
49 -59 83
10
93 -85 129
-95 -92 134
86 80 120
-93 85 128
-81 -85 120
-93 -98 138
96 -96 138
-84 -89 125
-84 -92 126
85 -93 128
10
81 84 118
-88 -99 135
88 -95 131
84 -89 125
-81 -91 123
-85 88 125
-83 94 128
88 -82 123
-96 -81 127
95 -82 127
3
85 -81 266
99 93 150
46 -11 269
10
96 -80 126
-87 -83 122
-97 90 134
91 99 136
98 -97 139
-96 94 136
-81 -93 125
-98 81 129
-94 -99 138
-98 -96 139
2
36 77 186
1 96 246
10
-86 -97 131
-97 -88 132
-89 -89 127
87 90 127
-98 -88 133
-88 -91 128
82 -85 120
-93 94 134
88 89 127
93 95 134
3
83 80 283
89 98 277
-88 -95 171
10
80 -91 123
-94 85 128
-87 -91 127
-93 89 130
-86 -95 130
93 82 125
-92 -99 137
80 -82 116
-88 91 128
-89 -81 122
9
50 -40 228
-60 -55 150
48 -96 232
-45 -30 93
7 10 30
7 -56 87
-48 67 138
1 43 109
-75 -97 178
6
91 -81 231
85 88 126
-82 96 283
96 82 277
87 93 251
96 -95 281
10
-88 90 127
-92 -99 138
-93 87 129
97 82 129
82 -92 126
83 94 127
96 85 131
-86 83 122
-86 -91 128
-85 -93 128
10
88 -87 293
-91 -90 290
95 -96 204
89 -98 243
94 -88 153
89 -99 260
-81 -80 238
-98 93 189
97 -94 165
-80 -98 153
10
82 -97 247
-86 84 262
-85 -99 264
-90 -82 165
96 95 262
-80 98 139
90 -92 198
98 -94 156
94 90 140
-93 83 135
2
1 -63 238
36 -56 292
4
81 -90 134
81 -89 145
81 88 200
-80 90 225
7
-89 89 129
-70 -56 213
-69 -59 187
-67 55 157
-89 85 135
50 -78 199
-62 -46 272
10
-73 -46 88
68 23 73
-99 5 101
