100 1000000000
47 187522
78 8738904
74 5402380
65 3432432
93 6755199
14 1630021
30 5270390
48 8132450
43 8932196
30 2778478
63 3604640
34 622026
15 876017
61 8152796
40 5580959
8 6404702
94 304217
66 1209280
25 8121479
83 707566
87 6240166
18 9438147
45 2506667
37 6842589
96 2599528
100 4812230
92 1935927
63 253304
20 7046071
33 7331286
7 1905432
6 3836882
2 2073462
19 2632944
70 6875773
82 2619931
67 9095535
93 1238361
53 6135785
30 5617694
24 8359588
54 2175766
75 8679564
43 4591822
70 5068921
87 6878817
7 6721902
89 7936798
1 3253903
95 6748823
92 4651560
73 7342589
45 480878
60 7803767
48 7557785
88 2530107
94 4340454
68 6486848
58 6348016
28 7502257
78 5273910
92 5676152
97 8401394
73 8626282
40 5566050
65 4072042
16 4024643
67 6698803
43 5879633
67 1667250
91 5850672
71 6297144
17 8446357
12 6554707
8 5011387
42 5640115
5 8535796
98 8463805
23 5166431
100 6139714
34 6712344
43 1921718
18 8675663
86 9634273
57 6078081
98 4186512
62 5452719
58 7157940
92 362771
61 5461021
87 1672197
5 3555464
26 3153251
98 8675150
25 4447705
41 3625793
21 92322
74 3580526
23 3582412
1 4816290
