4 7 0 2
0 1 abra
0 1 oil
2 0 ket
1 3 cada
3 3 da
3 2 bra
2 3 ket
2 2 0 1
0 0 a
0 1 b
5 6 3 0
3 1 op
3 2 op
3 4 opq
1 0 st
2 0 qr
4 0 r
2 1 0 1
1 1 loooop
2 2 0 1
0 0 a
0 1 a
3 3 0 2
0 1 a
0 1 ab
1 2 c
3 3 0 1
0 1 b
0 2 a
2 1 c
40 78 0 39
0 1 x
1 0 x
1 39 z
0 2 xxxxxx
2 3 xxxxxx
3 4 xxxxxx
4 5 xxxxxx
5 6 xxxxxx
6 7 xxxxxx
7 8 xxxxxx
8 9 xxxxxx
9 10 xxxxxx
10 11 xxxxxx
11 12 xxxxxx
12 13 xxxxxx
13 14 xxxxxx
14 15 xxxxxx
15 16 xxxxxx
16 17 xxxxxx
17 18 xxxxxx
18 19 xxxxxx
19 20 xxxxxx
20 21 xxxxxx
21 22 xxxxxx
22 23 xxxxxx
23 24 xxxxxx
24 25 xxxxxx
25 26 xxxxxx
26 27 xxxxxx
27 28 xxxxxx
28 29 xxxxxx
29 30 xxxxxx
30 31 xxxxxx
31 32 xxxxxx
32 33 xxxxxx
33 34 xxxxxx
34 35 xxxxxx
35 36 xxxxxx
36 37 xxxxxx
37 38 xxxxxx
38 39 xxxxxx
2 2 z
3 3 z
4 4 z
5 5 z
6 6 z
7 7 z
8 8 z
9 9 z
10 10 z
11 11 z
12 12 z
13 13 z
14 14 z
15 15 z
16 16 z
17 17 z
18 18 z
19 19 z
20 20 z
21 21 z
22 22 z
23 23 z
24 24 z
25 25 z
26 26 z
27 27 z
28 28 z
29 29 z
30 30 z
31 31 z
32 32 z
33 33 z
34 34 z
35 35 z
36 36 z
37 37 z
38 38 z
40 76 0 39
0 1 foo
1 2 a
2 1 b
1 39 y
0 3 fooa
38 39 abab
3 4 babab
4 5 ababa
5 6 babab
6 7 ababa
7 8 babab
8 9 ababa
9 10 babab
10 11 ababa
11 12 babab
12 13 ababa
13 14 babab
14 15 ababa
15 16 babab
16 17 ababa
17 18 babab
18 19 ababa
19 20 babab
20 21 ababa
21 22 babab
22 23 ababa
23 24 babab
24 25 ababa
25 26 babab
26 27 ababa
27 28 babab
28 29 ababa
29 30 babab
30 31 ababa
31 32 babab
32 33 ababa
33 34 babab
34 35 ababa
35 36 babab
36 37 ababa
37 38 babab
3 3 z
4 4 z
5 5 z
6 6 z
7 7 z
8 8 z
9 9 z
10 10 z
11 11 z
12 12 z
13 13 z
14 14 z
15 15 z
16 16 z
17 17 z
18 18 z
19 19 z
20 20 z
21 21 z
22 22 z
23 23 z
24 24 z
25 25 z
26 26 z
27 27 z
28 28 z
29 29 z
30 30 z
31 31 z
32 32 z
33 33 z
34 34 z
35 35 z
36 36 z
37 37 z
40 77 0 39
0 1 x
1 1 x
1 39 y
0 2 xxxx
38 39 xxxxxz
2 3 xxxxxx
3 4 xxxxxx
4 5 xxxxxx
5 6 xxxxxx
6 7 xxxxxx
7 8 xxxxxx
8 9 xxxxxx
9 10 xxxxxx
10 11 xxxxxx
11 12 xxxxxx
12 13 xxxxxx
13 14 xxxxxx
14 15 xxxxxx
15 16 xxxxxx
16 17 xxxxxx
17 18 xxxxxx
18 19 xxxxxx
19 20 xxxxxx
20 21 xxxxxx
21 22 xxxxxx
22 23 xxxxxx
23 24 xxxxxx
24 25 xxxxxx
25 26 xxxxxx
26 27 xxxxxx
27 28 xxxxxx
28 29 xxxxxx
29 30 xxxxxx
30 31 xxxxxx
31 32 xxxxxx
32 33 xxxxxx
33 34 xxxxxx
34 35 xxxxxx
35 36 xxxxxx
36 37 xxxxxx
37 38 xxxxxx
2 2 z
3 3 z
4 4 z
5 5 z
6 6 z
7 7 z
8 8 z
9 9 z
10 10 z
11 11 z
12 12 z
13 13 z
14 14 z
15 15 z
16 16 z
17 17 z
18 18 z
19 19 z
20 20 z
21 21 z
22 22 z
23 23 z
24 24 z
25 25 z
26 26 z
27 27 z
28 28 z
29 29 z
30 30 z
31 31 z
32 32 z
33 33 z
34 34 z
35 35 z
36 36 z
37 37 z
40 76 0 39
0 1 foo
1 2 a
2 1 b
1 39 y
0 3 fooa
38 39 ababz
3 4 babab
4 5 ababa
5 6 babab
6 7 ababa
7 8 babab
8 9 ababa
9 10 babab
10 11 ababa
11 12 babab
12 13 ababa
13 14 babab
14 15 ababa
15 16 babab
16 17 ababa
17 18 babab
18 19 ababa
19 20 babab
20 21 ababa
21 22 babab
22 23 ababa
23 24 babab
24 25 ababa
25 26 babab
26 27 ababa
27 28 babab
28 29 ababa
29 30 babab
30 31 ababa
31 32 babab
32 33 ababa
33 34 babab
34 35 ababa
35 36 babab
36 37 ababa
37 38 babab
3 3 z
4 4 z
5 5 z
6 6 z
7 7 z
8 8 z
9 9 z
10 10 z
11 11 z
12 12 z
13 13 z
14 14 z
15 15 z
16 16 z
17 17 z
18 18 z
19 19 z
20 20 z
21 21 z
22 22 z
23 23 z
24 24 z
25 25 z
26 26 z
27 27 z
28 28 z
29 29 z
30 30 z
31 31 z
32 32 z
33 33 z
34 34 z
35 35 z
36 36 z
37 37 z
5 6 0 3
0 1 c
1 2 b
2 1 b
2 3 c
4 3 d
0 4 ca
3 2 1 2
1 0 helo
1 2 wrld
4 4 0 3
0 1 a
1 2 b
2 1 b
2 3 c
4 4 0 3
0 1 a
0 2 a
1 3 b
2 3 b
5 5 0 4
0 1 a
1 2 a
2 1 a
2 3 b
0 4 b
4 5 0 3
0 3 abc
0 1 a
1 2 b
2 1 b
2 3 c
38 41 0 9
0 1 x
1 17 cccccc
17 18 cccccc
18 19 cccccc
19 20 cccccc
20 21 cccccc
21 22 cccccc
22 23 cccccc
23 2 cccca
2 2 c
2 9 z
0 3 x
3 10 cccccc
10 11 cccccc
11 12 cccccc
12 13 cccccc
13 14 cccccc
14 15 cccccc
15 16 cccccc
16 3 ccccac
3 9 z
0 4 x
4 24 cccccc
24 25 cccccc
25 26 cccccc
26 27 cccccc
27 28 cccccc
28 29 cccccc
29 30 cccccc
30 5 cccc
5 6 a
6 7 c
7 31 cccccc
31 32 cccccc
32 33 cccccc
33 34 cccccc
34 35 cccccc
35 36 cccccc
36 37 cccccc
37 8 cccc
8 9 b
10 13 0 9
0 1 x
1 2 cca
2 2 c
2 9 z
0 3 x
3 3 cca
3 9 z
0 4 x
4 5 cc
5 6 a
6 7 c
7 8 c
8 9 b
40 42 0 2
0 1 a
1 2 z
1 1 c
0 3 a
3 2 z
0 4 a
5 6 cccccc
6 7 cccccc
7 8 cccccc
8 9 cccccc
9 10 cccccc
10 11 cccccc
11 12 cccccc
12 13 cccccc
13 14 cccccc
14 15 cccccc
15 16 cccccc
16 17 cccccc
17 18 cccccc
18 19 cccccc
19 20 cccccc
20 21 cccccc
3 5 cccccc
21 3 ccccca
22 23 cccccc
23 24 cccccc
24 25 cccccc
25 26 cccccc
26 27 cccccc
27 28 cccccc
28 29 cccccc
29 30 cccccc
30 31 cccccc
31 32 cccccc
32 33 cccccc
33 34 cccccc
34 35 cccccc
35 36 cccccc
36 37 cccccc
37 38 cccccc
4 22 cccccc
38 2 cccccb
40 42 0 2
0 1 x
1 1 ca
1 2 z
0 3 x
4 4 c
4 2 z
0 5 x
6 2 cb
7 8 cacaca
8 9 cacaca
9 10 cacaca
10 11 cacaca
11 12 cacaca
12 13 cacaca
13 14 cacaca
14 15 cacaca
15 16 cacaca
16 17 cacaca
17 18 cacaca
18 19 cacaca
19 20 cacaca
20 21 cacaca
21 22 cacaca
3 7 cacaca
22 4 cacaca
23 24 cacaca
24 25 cacaca
25 26 cacaca
26 27 cacaca
27 28 cacaca
