23 231
19 21
12 5 78 3
7 11 49 24
10 16 2 10
16 13 52 10
18 15 16 27
5 14 1 13
4 23 78 13
15 12 26 19
23 13 21 28
3 18 63 2
7 8 98 27
5 10 2 14
4 13 57 15
23 7 13 10
7 10 51 16
23 9 92 14
14 16 98 17
13 21 67 25
13 20 24 20
1 13 63 11
8 22 65 21
1 20 73 2
21 22 20 9
12 14 75 13
1 12 27 21
22 1 25 18
3 8 95 17
16 22 92 22
14 10 67 27
15 6 55 29
7 21 82 15
23 2 58 23
10 6 81 15
8 11 11 16
11 9 77 14
16 6 97 3
22 20 35 6
22 12 19 21
3 16 91 28
15 21 7 14
16 8 60 27
10 17 82 12
3 2 79 4
5 18 23 24
5 11 99 4
9 3 14 27
23 17 69 17
7 16 92 9
3 7 77 28
16 4 94 18
7 9 62 23
8 2 87 6
21 2 79 1
1 18 48 14
2 15 28 14
4 3 27 10
20 3 87 19
4 2 20 10
9 8 2 26
1 8 75 2
9 14 17 26
23 3 61 7
14 13 82 29
20 12 59 7
6 21 15 22
13 12 23 3
22 6 59 24
2 13 74 27
11 13 71 8
14 15 41 6
7 1 60 4
8 10 35 19
4 12 97 28
1 6 64 23
21 9 100 4
1 4 90 15
10 18 76 13
20 18 73 7
11 20 34 3
2 10 54 2
20 14 37 2
11 6 77 6
17 13 60 19
16 20 73 15
5 13 34 30
6 23 69 17
9 17 36 21
5 4 21 15
1 9 22 6
18 9 56 21
17 1 6 8
14 8 87 28
18 21 56 1
10 15 87 4
12 18 18 21
4 17 7 26
5 23 81 27
15 4 11 1
4 18 25 2
11 1 94 1
3 11 59 22
10 3 84 11
21 1 56 10
21 20 63 14
17 7 88 6
3 1 20 8
23 11 56 15
16 5 56 6
18 14 63 5
20 5 64 1
21 14 64 15
3 14 77 30
14 7 38 9
21 10 17 25
9 12 18 26
6 5 13 27
14 23 2 15
8 6 14 13
11 18 43 9
17 20 73 10
4 14 28 9
21 16 52 6
5 15 56 12
10 1 58 21
3 22 20 14
2 20 63 29
15 20 95 12
11 15 25 24
23 22 45 27
15 16 31 20
9 6 85 25
5 17 3 3
4 7 93 12
21 12 41 28
4 8 61 17
11 17 23 1
3 21 34 21
23 21 86 16
12 16 67 27
14 22 8 13
12 8 88 7
2 12 64 26
11 4 47 6
16 2 83 6
12 6 13 30
17 16 19 1
5 7 31 30
15 23 17 1
15 13 42 30
15 1 14 9
10 23 17 17
2 6 36 27
23 8 29 25
11 10 21 19
22 13 48 27
4 6 99 7
5 21 41 22
3 13 25 28
8 17 59 19
18 2 55 1
16 23 45 26
22 9 29 8
3 15 51 3
10 20 41 5
9 16 67 28
9 5 67 11
17 22 62 12
9 10 33 29
18 16 15 12
2 11 65 7
9 2 20 3
22 4 64 9
2 1 38 27
6 14 87 1
18 17 71 18
5 8 91 25
7 12 98 26
23 1 38 4
22 10 99 20
11 14 60 6
21 8 95 6
18 23 28 21
22 15 13 23
12 23 81 7
8 18 75 2
21 17 30 8
20 9 45 26
13 9 64 14
12 10 47 28
14 2 11 18
7 13 26 12
17 6 10 13
2 5 88 4
7 20 85 28
22 5 30 19
10 4 11 9
17 12 24 8
15 17 67 18
11 21 62 28
8 20 67 15
12 11 5 7
2 7 58 23
16 1 82 21
9 15 69 12
18 22 34 17
21 4 21 10
1 5 95 8
13 18 37 15
14 17 86 25
15 8 33 21
3 6 73 21
18 6 78 9
4 20 71 5
7 18 49 14
11 16 92 16
11 22 100 25
20 6 46 8
